Name	Maven ID	Lizenz
Jenkins war	org.jenkins-ci.main:jenkins-war:1.583	The MIT license
Spring Framework: Web MVC	org.springframework:spring-webmvc:2.5.6.SEC03	The Apache Software License, Version 2.0
Commons BeanUtils	commons-beanutils:commons-beanutils:1.8.3	The Apache Software License, Version 2.0
winp	org.jvnet.winp:winp:1.21	The MIT license
Apache Ant Launcher	org.apache.ant:ant-launcher:1.8.3	The Apache Software License, Version 2.0
Bouncy Castle Provider	org.bouncycastle:bcprov-jdk15on:1.47	Bouncy Castle Licence
oro	oro:oro:2.0.8	The Apache Software License, Version 2.0
Task Reactor	org.jenkins-ci:task-reactor:1.4	MIT License
dom4j	org.jenkins-ci.dom4j:dom4j:1.6.1-jenkins-4	BSD License
Groovy	org.codehaus.groovy:groovy-all:1.8.9	The Apache Software License, Version 2.0
ASM Analysis	org.ow2.asm:asm-analysis:4.0	BSD
StAX API	stax:stax-api:1.0.1	The Apache Software License, Version 2.0
SSH CLI client authenticator	org.jenkins-ci.modules:ssh-cli-auth:1.2	MIT License
commons-jelly-tags-xml	commons-jelly:commons-jelly-tags-xml:1.1	The Apache Software License, Version 2.0
Icon-Set module	org.jenkins-ci.plugins.icon-shim:icon-set:1.0.3	MIT License
ASM Commons	org.ow2.asm:asm-commons:4.0	BSD
Custom Acess Modifier annotations	org.kohsuke:access-modifier-annotation:1.4	MIT License
jCIFS	org.samba.jcifs:jcifs:1.3.17-kohsuke-1	GNU Lesser General Public License, version 2.1
Spring Framework: DAO	org.springframework:spring-dao:1.2.9	The Apache Software License, Version 2.0
JLine	jline:jline:0.9.94	BSD
Spring Framework: AOP	org.springframework:spring-aop:2.5.6.SEC03	The Apache Software License, Version 2.0
Stapler Groovy module	org.kohsuke.stapler:stapler-groovy:1.229	2-clause BSD license
Java binding for libpam.so	org.kohsuke:libpam4j:1.6	The MIT license
HttpClient	commons-httpclient:commons-httpclient:3.1	Apache License
Annotation Indexer	org.jenkins-ci:annotation-indexer:1.7	MIT License
jnr-posix	com.github.jnr:jnr-posix:3.0.1	Common Public License - v 1.0
GNU General Public License Version 2
GNU Lesser General Public License Version 2.1
Woodstox	org.codehaus.woodstox:wstx-asl:3.2.9	The Apache Software License, Version 2.0
Spring Framework: Core	org.springframework:spring-core:2.5.6.SEC03	The Apache Software License, Version 2.0
asm5	org.kohsuke:asm5:5.0.1	BSD License
jbcrypt	org.mindrot:jbcrypt:0.3m	ISC/BSD License
Commons Logging	commons-logging:commons-logging:1.1.3	The Apache Software License, Version 2.0
Apache Ant Core	org.apache.ant:ant:1.8.3	The Apache Software License, Version 2.0
