Windows 2012 Server 64 bit
Jenkins 2.89.2

Active Directory	2.4
Ant	1.7
Apache HttpComponents Client 4.x API	4.5.3-2.0
Authentication Tokens API Plugin	1.3
Autofavorite for Blue Ocean	1.2.1
Bitbucket Branch Source	2.2.8
Bitbucket Pipeline for Blue Ocean	1.3.5
Blue Ocean	1.3.5
Blue Ocean Pipeline Editor	1.3.5
bouncycastle API Plugin	2.16.2
Branch API	2.0.17
Build Monitor View	1.12+build.201708172343
build-name-setter	1.6.7
Common API for Blue Ocean	1.3.5
Conditional BuildStep	1.3.5
Config API for Blue Ocean	1.3.5
Configuration Slicing plugin	1.47
Copy Artifact	1.38.1
Credentials Binding	1.13
Credentials Plugin	2.1.16
CVS	2.13
Dashboard for Blue Ocean	1.3.5
description setter plugin	1.1
Display URL API	2
Display URL for Blue Ocean	2.1.1
Docker Commons	1.9
Docker Pipeline	1.13
Durable Task	1.15
Email Extension	2.57.2
embeddable-build-status	1.9
Environment Injector	2.1
Events API for Blue Ocean	1.3.5
External Monitor Job Type Plugin	1.7
Favorite	2.3.1
Flowdock plugin	1.1.8
Folders	6.2.1
Git	3.7.0
Git client	2.7.0
Git Pipeline for Blue Ocean	1.3.5
GIT server Plugin	1.7
GitHub	1.28.1
GitHub API Plugin	1.9
GitHub Branch Source	2.3.2
GitHub Pipeline for Blue Ocean	1.3.5
Green Balls	1.15
HTML Publisher plugin	1.14
i18n for Blue Ocean	1.3.5
Icon Shim Plugin	2.0.3
Jackson 2 API	2.8.10.1
JavaScript GUI Lib: ACE Editor bundle plugin	1.1
JavaScript GUI Lib: jQuery bundles (jQuery and jQuery UI) plugin	1.2.1
JIRA plugin	2.5
Job Configuration History Plugin	2.18
Job Import Plugin	2.1
jQuery plugin	1.12.4-0
JSch dependency	0.1.54.1
JUnit	1.21
JWT for Blue Ocean	1.3.5
Label Linked Jobs Plugin	5.1.2
LDAP	1.15
Log Parser Plugin	2
Mailer	1.2
MapDB API Plugin	1.0.9.0
Matrix Authorization Strategy	1.6
Matrix Project	1.11
Maven Integration	2.15.1
Mercurial	2.2
Monitoring	1.68.1
Multiple SCMs plugin	0.6
Node and Label parameter plugin	1.7.2
OWASP Markup Formatter Plugin	1.5
PAM Authentication plugin	1.3
Personalization for Blue Ocean	1.3.5
Pipeline Graph Analysis	1.5
Pipeline implementation for Blue Ocean	1.3.5
Pipeline SCM API for Blue Ocean	1.3.5
Pipeline: API	2.24
Pipeline: Basic Steps	2.6
Pipeline: Build Step	2.6
Pipeline: Declarative	1.2.5
Pipeline: Declarative Agent API	1.1.1
Pipeline: Declarative Extension Points API	1.2.5
Pipeline: Groovy	2.42
Pipeline: Input Step	2.8
Pipeline: Job	2.15
Pipeline: Milestone Step	1.3.1
Pipeline: Model API	1.2.5
Pipeline: Multibranch	2.16
Pipeline: Nodes and Processes	2.17
Pipeline: SCM Step	2.6
Pipeline: Shared Groovy Libraries	2.9
Pipeline: Stage Step	2.3
Pipeline: Stage Tags Metadata	1.2.5
Pipeline: Step API	2.14
Pipeline: Supporting APIs	2.16
Plain Credentials Plugin	1.4
Plot	1.11
Pre SCM BuildStep Plugin	0.3
Pub-Sub "light" Bus	1.12
Rebuilder	1.25
REST API for Blue Ocean	1.3.5
REST Implementation for Blue Ocean	1.3.5
Run Condition Plugin	1
SCM API Plugin	2.2.6
Script Security	1.39
Server Sent Events (SSE) Gateway Plugin	1.15
Shared Workspace	1.0.2
SSH Credentials Plugin	1.13
SSH Slaves	1.17
Static Analysis Utilities	1.92
Structs	1.1
ThinBackup	1.9
Throttle Concurrent Builds	2
Token Macro	2.1
Validating String Parameter Plugin	2.3
Variant Plugin	1.1
Warnings	4.62
Web for Blue Ocean	1.3.5
Windows Slaves Plugin	1.3.1
