 num     #instances         #bytes  class name
----------------------------------------------
   1:       3559646      788520512  [C
   2:       1568080       87812480  org.jenkinsci.plugins.testresultsanalyzer.result.data.TestCaseResultData
   3:       3560073       85441752  java.lang.String
   4:       1733941       69357640  java.util.TreeMap$Entry
   5:         96730        5416880  org.jenkinsci.plugins.testresultsanalyzer.result.data.ClassResultData
   6:         53251        4686088  java.lang.reflect.Method
   7:         71690        4386568  [Ljava.lang.Object;
   8:        132124        4227968  java.util.HashMap$Node
   9:         11317        4011896  [B
  10:         53635        3003560  org.jenkinsci.plugins.testresultsanalyzer.result.data.PackageResultData
  11:         25889        2360056  [Ljava.util.HashMap$Node;
  12:         18918        2103472  [I
  13:        127904        2046464  java.lang.Integer
  14:         17367        1926864  java.lang.Class
  15:         51828        1658496  java.util.concurrent.ConcurrentHashMap$Node
  16:         46602        1491264  com.codahale.metrics.WeightedSnapshot$WeightedSample
  17:         26341        1475096  org.codehaus.groovy.runtime.metaclass.MetaMethodIndex$Entry
  18:         59445        1426680  java.util.concurrent.ConcurrentSkipListMap$Node
  19:         29165        1399920  java.util.HashMap
  20:         47540        1140960  java.lang.Double
  21:         35067        1122144  java.util.Hashtable$Entry
  22:         45630        1095120  java.util.ArrayList
  23:         10689        1068944  [Ljava.util.WeakHashMap$Entry;
  24:         16013        1024832  java.net.URL
  25:         39562         949488  java.util.concurrent.atomic.AtomicLong
  26:         14134         822040  [Ljava.lang.String;
  27:         19673         786920  java.util.WeakHashMap$Entry
  28:         45665         730640  java.lang.Object
  29:         29224         701376  java.util.concurrent.ConcurrentSkipListMap$Index
  30:         17512         700480  java.util.LinkedHashMap$Entry
  31:         28252         685696  [Lorg.apache.commons.jexl.parser.Node;
  32:         31431         664328  [Ljava.lang.Class;
  33:         20198         646336  java.lang.ref.WeakReference
  34:         26317         631608  java.lang.Long
  35:         13057         626736  java.util.TreeMap
  36:          8261         594792  java.lang.reflect.Field
  37:          3811         565424  [Lorg.codehaus.groovy.util.ComplexKeyHashMap$Entry;
  38:         14110         564400  java.lang.ref.SoftReference
  39:         10681         512688  java.util.WeakHashMap
  40:         15923         509536  java.lang.ref.ReferenceQueue
  41:           675         505840  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  42:          6101         488080  java.lang.reflect.Constructor
  43:          3146         439664  [Ljava.util.Hashtable$Entry;
  44:          7716         432096  java.util.LinkedHashMap
  45:         13217         422944  org.apache.commons.jexl.parser.ASTIdentifier
  46:          5220         417600  com.google.common.cache.LocalCache$Segment
  47:          1780         407184  [Z
  48:         11478         367296  org.apache.commons.jelly.impl.ExpressionAttribute
  49:          5625         360000  org.codehaus.groovy.reflection.CachedMethod
  50:         14740         353760  org.codehaus.groovy.util.FastArray
  51:         10671         341472  org.codehaus.groovy.util.SingleKeyHashMap$Entry
  52:          9804         313728  java.util.Collections$SynchronizedMap
  53:          9087         290784  java.util.concurrent.locks.ReentrantLock$NonfairSync
  54:          1956         281664  org.codehaus.groovy.ast.ClassNode
  55:          8572         274304  com.google.common.cache.LocalCache$StrongEntry
  56:          6528         261120  com.google.common.cache.AbstractCache$SimpleStatsCounter
  57:          8146         260672  org.apache.commons.jexl.parser.ASTReference
  58:          3216         257280  org.kohsuke.stapler.jelly.ReallyStaticTagLibrary$1
  59:         15925         254800  java.lang.ref.ReferenceQueue$Lock
  60:           365         241920  [J
  61:          4861         233328  com.google.common.cache.LocalCache$SoftValueReference
  62:          9508         228192  org.xml.sax.helpers.AttributesImpl
  63:          2534         218928  [Ljava.lang.reflect.Method;
  64:           342         218592  [Lorg.codehaus.groovy.runtime.metaclass.MetaMethodIndex$Entry;
  65:          5221         208840  java.security.ProtectionDomain
  66:          3681         206136  java.beans.MethodDescriptor
  67:          6061         193952  org.apache.commons.jexl.ExpressionImpl
  68:          6061         193952  org.apache.commons.jexl.parser.ASTJexlScript
  69:          3694         177312  org.codehaus.groovy.util.ReferenceType$SoftRef
  70:          1308         167424  com.google.common.cache.LocalCache
  71:          5220         167040  java.security.CodeSource
  72:          2241         161352  org.apache.commons.jelly.impl.TagScript
