ace-editor                         JavaScript GUI Lib: ACE Editor bundle plugin                     1.1
ant                                Ant Plugin                                                       1.11
antisamy-markup-formatter          OWASP Markup Formatter Plugin                                    2.1
apache-httpcomponents-client-4-api Apache HttpComponents Client 4.x API Plugin                      4.5.13-1.0
authentication-tokens              Authentication Tokens API Plugin                                 1.4
blueocean-autofavorite             Autofavorite for Blue Ocean                                      1.2.4
blueocean-bitbucket-pipeline       Bitbucket Pipeline for Blue Ocean                                1.24.4
blueocean-commons                  Common API for Blue Ocean                                        1.24.4
blueocean-config                   Config API for Blue Ocean                                        1.24.4
blueocean-core-js                  Blue Ocean Core JS                                               1.24.4
blueocean-dashboard                Dashboard for Blue Ocean                                         1.24.4
blueocean-display-url              Display URL for Blue Ocean                                       2.4.1
blueocean-events                   Events API for Blue Ocean                                        1.24.4
blueocean-git-pipeline             Git Pipeline for Blue Ocean                                      1.24.4
blueocean-github-pipeline          GitHub Pipeline for Blue Ocean                                   1.24.4
blueocean-i18n                     i18n for Blue Ocean                                              1.24.4
blueocean-jira                     JIRA Integration for Blue Ocean                                  1.24.4
blueocean-jwt                      JWT for Blue Ocean                                               1.24.4
blueocean-personalization          Personalization for Blue Ocean                                   1.24.4
blueocean-pipeline-api-impl        Pipeline implementation for Blue Ocean                           1.24.4
blueocean-pipeline-editor          Blue Ocean Pipeline Editor                                       1.24.4
blueocean-pipeline-scm-api         Pipeline SCM API for Blue Ocean                                  1.24.4
blueocean-rest-impl                REST Implementation for Blue Ocean                               1.24.4
blueocean-rest                     REST API for Blue Ocean                                          1.24.4
blueocean-web                      Web for Blue Ocean                                               1.24.4
bootstrap4-api                     Bootstrap 4 API Plugin                                           4.6.0-1
bouncycastle-api                   bouncycastle API Plugin                                          2.18
branch-api                         Branch API Plugin                                                2.6.3
build-timeout                      Build Timeout                                                    1.20
checks-api                         Checks API plugin                                                1.3.0 (1.5.0)
cloudbees-bitbucket-branch-source  Bitbucket Branch Source Plugin                                   2.9.7
cloudbees-folder                   Folders Plugin                                                   6.15
command-launcher                   Command Agent Launcher Plugin                                    1.5
credentials-binding                Credentials Binding Plugin                                       1.24
credentials                        Credentials Plugin                                               2.3.14 (2.3.15)
custom-tools-plugin                Custom Tools Plugin                                              0.7
display-url-api                    Display URL API                                                  2.3.4
docker-commons                     Docker Commons Plugin                                            1.17
docker-workflow                    Docker Pipeline                                                  1.25
durable-task                       Durable Task Plugin                                              1.35
echarts-api                        ECharts API Plugin                                               4.9.0-3
email-ext                          Email Extension Plugin                                           2.81
extended-choice-parameter          Extended Choice Parameter Plug-In                                0.82
external-monitor-job               External Monitor Job Type Plugin                                 1.7
favorite                           Favorite                                                         2.3.3
font-awesome-api                   Font Awesome API Plugin                                          5.15.2-1
git-client                         Git client plugin                                                3.6.0
git-parameter                      Git Parameter Plug-In                                            0.9.13
git-server                         GIT server Plugin                                                1.9
git                                Git plugin                                                       4.6.0
github-api                         GitHub API Plugin                                                1.122
github-branch-source               GitHub Branch Source Plugin                                      2.10.1
github                             GitHub plugin                                                    1.32.0 (1.33.1)
global-build-stats                 Hudson global-build-stats plugin                                 1.5
gradle                             Gradle Plugin                                                    1.36
greenballs                         Green Balls                                                      1.15.1
handlebars                         JavaScript GUI Lib: Handlebars bundle plugin                     1.1.1
handy-uri-templates-2-api          Handy Uri Templates 2.x API Plugin                               2.1.8-1.0
htmlpublisher                      HTML Publisher plugin                                            1.25
jackson2-api                       Jackson 2 API Plugin                                             2.12.1
javadoc                            Javadoc Plugin                                                   1.6
jdk-tool                           Oracle Java SE Development Kit Installer Plugin                  1.4 (1.5)
jenkins-design-language            Design Language                                                  1.24.4
jira                               Jira plugin                                                      3.1.3 (3.2)
jjwt-api                           Java JSON Web Token (JJWT) Plugin                                0.11.2-7.a257d5ff5a6b (0.11.2-9.c8b45b8bb173)
jquery-detached                    JavaScript GUI Lib: jQuery bundles (jQuery and jQuery UI) plugin 1.2.1
jquery                             jQuery plugin                                                    1.12.4-1
jquery3-api                        JQuery3 API Plugin                                               3.5.1-2
jsch                               JSch dependency plugin                                           0.1.55.2
junit-attachments                  JUnit Attachments Plugin                                         1.6
junit                              JUnit Plugin                                                     1.48
ldap                               LDAP Plugin                                                      2.4
lockable-resources                 Lockable Resources plugin                                        2.10
mailer                             Mailer Plugin                                                    1.32.1
matrix-auth                        Matrix Authorization Strategy Plugin                             2.6.5
matrix-project                     Matrix Project Plugin                                            1.18
maven-plugin                       Maven Integration plugin                                         3.9
mercurial                          Mercurial plugin                                                 2.12
momentjs                           JavaScript GUI Lib: Moment.js bundle plugin                      1.1.1
msbuild                            MSBuild Plugin                                                   1.29
neoload-jenkins-plugin             NeoLoad Plugin                                                   2.2.7
nunit                              NUnit plugin                                                     0.27
Office-365-Connector               Office 365 Connector                                             4.13.2
okhttp-api                         OkHttp Plugin                                                    3.14.9
pam-auth                           PAM Authentication plugin                                        1.6
parameterized-scheduler            Parameterized Scheduler                                          0.9.2
performance                        Performance Plugin                                               3.18
pipeline-build-step                Pipeline: Build Step                                             2.13
pipeline-github-lib                Pipeline: GitHub Groovy Libraries                                1.0
pipeline-graph-analysis            Pipeline Graph Analysis Plugin                                   1.10
pipeline-input-step                Pipeline: Input Step                                             2.12
pipeline-milestone-step            Pipeline: Milestone Step                                         1.3.2
pipeline-model-api                 Pipeline: Model API                                              1.8.2 (1.8.4)
pipeline-model-declarative-agent   Pipeline: Declarative Agent API                                  1.1.1
pipeline-model-definition          Pipeline: Declarative                                            1.8.2 (1.8.4)
pipeline-model-extensions          Pipeline: Declarative Extension Points API                       1.8.2 (1.8.4)
pipeline-rest-api                  Pipeline: REST API Plugin                                        2.19
pipeline-stage-step                Pipeline: Stage Step                                             2.5
pipeline-stage-tags-metadata       Pipeline: Stage Tags Metadata                                    1.8.2 (1.8.4)
pipeline-stage-view                Pipeline: Stage View Plugin                                      2.19
pipeline-utility-steps             Pipeline Utility Steps                                           2.6.1
plain-credentials                  Plain Credentials Plugin                                         1.7
plot                               Plot plugin                                                      2.1.8
plugin-util-api                    Plugin Utilities API Plugin                                      1.6.1 (1.7.1)
popper-api                         Popper.js API Plugin                                             1.16.1-1
powershell                         PowerShell plugin                                                1.4
pubsub-light                       Pub-Sub "light" Bus                                              1.13
resource-disposer                  Resource Disposer Plugin                                         0.14
schedule-build                     Schedule Build Plugin                                            0.5.1
scm-api                            SCM API Plugin                                                   2.6.4
script-security                    Script Security Plugin                                           1.76
slack-uploader                     Slack Upload Plugin                                              1.7
slack                              Slack Notification Plugin                                        2.45
snakeyaml-api                      Snakeyaml API Plugin                                             1.27.0
sse-gateway                        Server Sent Events (SSE) Gateway Plugin                          1.24
ssh-credentials                    SSH Credentials Plugin                                           1.18.1
ssh-slaves                         SSH Build Agents plugin                                          1.31.5
structs                            Structs Plugin                                                   1.20 (1.22)
test-results-analyzer              Test Results Analyzer Plugin                                     0.3.5
tfs                                Team Foundation Server Plug-in                                   5.157.1
throttle-concurrents               Throttle Concurrent Builds Plug-in                               2.1
timestamper                        Timestamper                                                      1.11.8
token-macro                        Token Macro Plugin                                               2.15
trilead-api                        Trilead API Plugin                                               1.0.13
variant                            Variant Plugin                                                   1.4
violations                         Violations plugin                                                0.7.11
windows-slaves                     WMI Windows Agents Plugin                                        1.7
workflow-aggregator                Pipeline                                                         2.6
workflow-api                       Pipeline: API                                                    2.41
workflow-basic-steps               Pipeline: Basic Steps                                            2.23
workflow-cps-global-lib            Pipeline: Shared Groovy Libraries                                2.17
workflow-cps                       Pipeline: Groovy                                                 2.87 (2.89)
workflow-durable-task-step         Pipeline: Nodes and Processes                                    2.37
workflow-job                       Pipeline: Job                                                    2.40
workflow-multibranch               Pipeline: Multibranch                                            2.22
workflow-scm-step                  Pipeline: SCM Step                                               2.11
workflow-step-api                  Pipeline: Step API                                               2.23
workflow-support                   Pipeline: Supporting APIs                                        3.7
ws-cleanup                         Workspace Cleanup Plugin                                         0.38
zap                                Official OWASP ZAP Jenkins Plugin                                1.1.0
