192.168.2.27,127.0.0.1 | https | i@1C6OIW1x608x5257863x0 | - | 2021-08-24 10:08:43,556 | "GET /scm/web/{PROJECT_NAME}.git/info/refs HTTP/1.0" | "" "git/2.27.0.windows.1" | - | - | - | - | - | - | 
192.168.2.27,127.0.0.1 | https | o@1C6OIW1x608x5257863x0 | - | 2021-08-24 10:08:43,557 | "GET /scm/web/{PROJECT_NAME}.git/info/refs HTTP/1.0" | "" "git/2.27.0.windows.1" | 401 | 0 | 0 | - | 1 | - | 
192.168.2.27,0:0:0:0:0:0:0:1 | https | i@1C6OIW1x608x5257864x0 | - | 2021-08-24 10:08:43,890 | "GET /scm/web/{PROJECT_NAME}.git/info/refs HTTP/1.0" | "" "git/2.27.0.windows.1" | - | - | - | - | - | - | 
192.168.2.27,0:0:0:0:0:0:0:1 | https | o@1C6OIW1x608x5257864x0 | {redacted} | 2021-08-24 10:08:49,001 | "GET /scm/web/{PROJECT_NAME}.git/info/refs HTTP/1.0" | "" "git/2.27.0.windows.1" | 200 | 0 | 277 | protocol:1, refs | 5110 | - | 
192.168.2.27,127.0.0.1 | https | i@1C6OIW1x608x5257865x0 | - | 2021-08-24 10:08:49,350 | "POST /scm/web/{PROJECT_NAME}.git/git-receive-pack HTTP/1.0" | "" "git/2.27.0.windows.1" | - | - | - | - | - | - | 
192.168.2.27,127.0.0.1 | https | o@1C6OIW1x608x5257865x0 | {redacted} | 2021-08-24 10:08:49,562 | "POST /scm/web/{PROJECT_NAME}.git/git-receive-pack HTTP/1.0" | "" "git/2.27.0.windows.1" | 200 | 1163 | 52 | protocol:1, push | 211 | - | 
192.168.2.27,0:0:0:0:0:0:0:1 | https | i@1C6OIW1x608x5257866x0 | - | 2021-08-24 10:08:55,283 | "GET /plugins/servlet/webhooks/projects/WEB/repos/{PROJECT_NAME}/details/5 HTTP/1.0" | "" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36" | - | - | - | - | - | 10qjare | 
192.168.2.27,0:0:0:0:0:0:0:1 | https | o@1C6OIW1x608x5257866x0 | {redacted} | 2021-08-24 10:08:55,357 | "GET /plugins/servlet/webhooks/projects/WEB/repos/{PROJECT_NAME}/details/5 HTTP/1.0" | "" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36" | 200 | 0 | 27846 | - | 74 | 10qjare | 
192.168.2.27,127.0.0.1 | https | i@1C6OIW1x608x5257867x0 | - | 2021-08-24 10:08:55,537 | "GET /rest/menu/latest/appswitcher HTTP/1.0" | "https://{BITBUCKET_URL}/plugins/servlet/webhooks/projects/WEB/repos/{PROJECT_NAME}/details/5" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36" | - | - | - | - | - | 10qjare | 
192.168.2.27,127.0.0.1 | https | o@1C6OIW1x608x5257867x0 | {redacted} | 2021-08-24 10:08:55,544 | "GET /rest/menu/latest/appswitcher HTTP/1.0" | "https://{BITBUCKET_URL}/plugins/servlet/webhooks/projects/WEB/repos/{PROJECT_NAME}/details/5" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36" | 200 | 0 | 538 | - | 6 | 10qjare | 
192.168.2.27,0:0:0:0:0:0:0:1 | https | i@1C6OIW1x608x5257868x0 | - | 2021-08-24 10:08:55,558 | "GET /rest/api/latest/projects/WEB/repos/{PROJECT_NAME}/webhooks/5 HTTP/1.0" | "https://{BITBUCKET_URL}/plugins/servlet/webhooks/projects/WEB/repos/{PROJECT_NAME}/details/5" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36" | - | - | - | - | - | 10qjare | 
