192.168.2.27,0:0:0:0:0:0:0:1 | https | i@1C6OIW1x914x5832934x0 | - | 2021-09-09 15:14:20,719 | "GET /scm/web/{repo}.git/info/refs HTTP/1.0" | "" "git/2.27.0.windows.1" | - | - | - | - | - | - | 
192.168.2.27,0:0:0:0:0:0:0:1 | https | o@1C6OIW1x914x5832934x0 | - | 2021-09-09 15:14:20,720 | "GET /scm/web/{repo}.git/info/refs HTTP/1.0" | "" "git/2.27.0.windows.1" | 401 | 0 | 0 | - | 1 | - | 
192.168.2.27,127.0.0.1 | https | i@1C6OIW1x914x5832935x0 | - | 2021-09-09 15:14:21,018 | "GET /scm/web/{repo}.git/info/refs HTTP/1.0" | "" "git/2.27.0.windows.1" | - | - | - | - | - | - | 
192.168.2.27,127.0.0.1 | https | o@1C6OIW1x914x5832935x0 | {user} | 2021-09-09 15:14:26,168 | "GET /scm/web/{repo}.git/info/refs HTTP/1.0" | "" "git/2.27.0.windows.1" | 200 | 0 | 512 | protocol:1, refs | 5149 | - | 
192.168.2.27,0:0:0:0:0:0:0:1 | https | i@1C6OIW1x914x5832936x0 | - | 2021-09-09 15:14:26,534 | "POST /scm/web/{repo}.git/git-receive-pack HTTP/1.0" | "" "git/2.27.0.windows.1" | - | - | - | - | - | - | 
192.168.2.27,0:0:0:0:0:0:0:1 | https | o@1C6OIW1x914x5832936x0 | {user} | 2021-09-09 15:14:26,670 | "POST /scm/web/{repo}.git/git-receive-pack HTTP/1.0" | "" "git/2.27.0.windows.1" | 200 | 3776 | 52 | protocol:1, push | 135 | - | 
192.168.1.160,127.0.0.1 | https | i@1C6OIW1x914x5832937x0 | - | 2021-09-09 15:14:31,835 | "GET /rest/remote-link-aggregation/latest/aggregation HTTP/1.0" | "" "Apache-HttpClient/4.5.5 (Java/1.8.0_275)" | - | - | - | - | - | - | 
192.168.1.160,127.0.0.1 | https | o@1C6OIW1x914x5832937x0 | - | 2021-09-09 15:14:31,845 | "GET /rest/remote-link-aggregation/latest/aggregation HTTP/1.0" | "" "Apache-HttpClient/4.5.5 (Java/1.8.0_275)" | 200 | 0 | 273 | - | 9 | - | 
192.168.1.122,0:0:0:0:0:0:0:1 | https | i@1C6OIW1x914x5832938x0 | - | 2021-09-09 15:14:36,838 | "GET /rest/api/1.0/projects/WEB/repos/{repo}/commits HTTP/1.0" | "" "sentry/21.9.0.dev0 (https://sentry.io)" | - | - | - | - | - | - | 
192.168.1.122,0:0:0:0:0:0:0:1 | https | o@1C6OIW1x914x5832938x0 | {user} | 2021-09-09 15:14:36,865 | "GET /rest/api/1.0/projects/WEB/repos/{repo}/commits HTTP/1.0" | "" "sentry/21.9.0.dev0 (https://sentry.io)" | 200 | 0 | 2417 | - | 26 | - | 
192.168.6.81,127.0.0.1 | https | i@1C6OIW1x914x5832939x0 | - | 2021-09-09 15:14:48,014 | "GET /scm/stud/{unrelated_repo}.git/info/refs HTTP/1.0" | "" "git/2.24.1.windows.2" | - | - | - | - | - | - | 
192.168.6.81,127.0.0.1 | https | o@1C6OIW1x914x5832939x0 | - | 2021-09-09 15:14:48,016 | "GET /scm/stud/{unrelated_repo}.git/info/refs HTTP/1.0" | "" "git/2.24.1.windows.2" | 401 | 0 | 0 | - | 2 | - | 
192.168.6.81,0:0:0:0:0:0:0:1 | https | i@1C6OIW1x914x5832940x0 | - | 2021-09-09 15:14:48,017 | "GET /scm/stud/{unrelated_repo}.git/info/refs HTTP/1.0" | "" "git/2.24.1.windows.2" | - | - | - | - | - | - | 
192.168.6.81,0:0:0:0:0:0:0:1 | https | o@1C6OIW1x914x5832940x0 | - | 2021-09-09 15:14:48,022 | "GET /scm/stud/{unrelated_repo}.git/info/refs HTTP/1.0" | "" "git/2.24.1.windows.2" | 401 | 0 | 0 | - | 4 | - | 
192.168.6.81,127.0.0.1 | https | i@1C6OIW1x914x5832941x0 | - | 2021-09-09 15:14:48,268 | "GET /scm/stud/{unrelated_repo}.git/info/refs HTTP/1.0" | "" "git/2.24.1.windows.2" | - | - | - | - | - | - | 
192.168.6.81,127.0.0.1 | https | o@1C6OIW1x914x5832941x0 | {user} | 2021-09-09 15:14:48,342 | "GET /scm/stud/{unrelated_repo}.git/info/refs HTTP/1.0" | "" "git/2.24.1.windows.2" | 200 | 0 | 6332 | protocol:1, refs | 73 | - | 
192.168.6.81,0:0:0:0:0:0:0:1 | https | i@1C6OIW1x914x5832942x0 | - | 2021-09-09 15:14:50,987 | "GET /scm/stud/{unrelated_repo}-de.git/info/refs HTTP/1.0" | "" "git/2.24.1.windows.2" | - | - | - | - | - | - | 
192.168.6.81,0:0:0:0:0:0:0:1 | https | o@1C6OIW1x914x5832942x0 | - | 2021-09-09 15:14:50,989 | "GET /scm/stud/{unrelated_repo}-de.git/info/refs HTTP/1.0" | "" "git/2.24.1.windows.2" | 401 | 0 | 0 | - | 1 | - | 
192.168.6.81,127.0.0.1 | https | i@1C6OIW1x914x5832943x0 | - | 2021-09-09 15:14:51,231 | "GET /scm/stud/{unrelated_repo}-de.git/info/refs HTTP/1.0" | "" "git/2.24.1.windows.2" | - | - | - | - | - | - | 
192.168.6.81,127.0.0.1 | https | o@1C6OIW1x914x5832943x0 | {user} | 2021-09-09 15:14:51,252 | "GET /scm/stud/{unrelated_repo}-de.git/info/refs HTTP/1.0" | "" "git/2.24.1.windows.2" | 200 | 0 | 34860 | protocol:1, refs | 21 | - | 
